ID,code,status,details_ID,currentPossession_ID,createdAt,createdBy,modifiedAt,modifiedBy
5b2f2888-c5de-494e-9624-46a13ef8b48b,Monitor01,available,e9d9452f-7fcb-478b-a3a0-2fdd9cd5abb6,,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
cb9eaac9-1940-41df-9da5-02a97cfff751,Monitor02,requested,e9d9452f-7fcb-478b-a3a0-2fdd9cd5abb6,,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
3ba3770f-4e3c-4d9b-9d55-34622c7ab930,Macmini01,,f2344572-8061-4905-a3ce-d3c016601315,ramisa.zaman@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
3db6e5ce-06c8-45d9-894f-16e30719af73,Keyboard01,requested,91875844-0cb5-429b-945e-b9b56cf37a5b,,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
3f5f2cce-0feb-4172-a6c1-b7df3567fd9c,Macmini02,,f2344572-8061-4905-a3ce-d3c016601315,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
f9b2ff7f-2551-4654-9005-69fefd238b02,DELL01,available,6725d14c-6dd5-49bd-b4c3-45ff923b1694,,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
e218624e-728d-4e5c-8300-f3fd9c124db5,DELL02,,6725d14c-6dd5-49bd-b4c3-45ff923b1694,ramisa.zaman@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
dc4144b1-00f6-42d8-bb99-ca426071cca3,DELL03,,6725d14c-6dd5-49bd-b4c3-45ff923b1694,ramisa.zaman@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
497e555a-7fbe-4093-810c-4614323b09fb,Mouse01,,912b2447-2317-4898-a7dd-6fca3f628e95,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
29b70e3f-2cd9-4cde-a4d1-6165e556c6f9,Mouse02,available,912b2447-2317-4898-a7dd-6fca3f628e95,,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io,2026-01-22T09:57:41.215Z,lamiya.orpa@welldev.io
